mature_mirna_id,target_symbol
hsa-miR-324-5p,GLI1
hsa-miR-21-5p,RASGRP1
hsa-miR-326,GLI1
hsa-miR-125b-5p,GLI1
hsa-miR-335-5p,GLI1
hsa-miR-202-3p,GLI1
hsa-miR-133b,GLI1
hsa-miR-873-5p,GLI1
hsa-miR-584-3p,GLI1
hsa-miR-335-5p,RASGRP1
hsa-miR-125b-5p,RASGRP1
hsa-miR-4652-3p,RASGRP1
hsa-miR-4743-3p,RASGRP1
hsa-miR-3180-5p,RASGRP1
hsa-miR-525-5p,RASGRP1
hsa-miR-520a-5p,RASGRP1
hsa-miR-488-5p,RASGRP1
hsa-miR-599,RASGRP1
hsa-miR-3161,RASGRP1
hsa-miR-4679,RASGRP1
hsa-miR-4677-3p,RASGRP1
hsa-miR-29a-3p,RASGRP1
hsa-miR-4517,RASGRP1
hsa-miR-4524b-3p,RASGRP1
hsa-miR-4645-3p,RASGRP1
hsa-miR-5583-3p,RASGRP1
hsa-miR-124-3p,ALDOB
hsa-miR-378a-3p,ALDOB
hsa-miR-16-5p,ARG2
hsa-let-7a-5p,ARG2
hsa-miR-335-5p,COL6A1
hsa-miR-1301-3p,COL6A1
hsa-miR-877-3p,COL6A1
hsa-miR-615-3p,COL6A1
hsa-miR-324-5p,COL6A1
hsa-let-7e-5p,COL6A1
hsa-miR-124-3p,COL6A2
hsa-miR-10b-5p,COL6A2
hsa-miR-10a-5p,COL6A2
hsa-miR-3928-3p,COL6A2
hsa-miR-29c-3p,COL6A2
hsa-miR-184,COL6A2
hsa-miR-29b-3p,MMP2
hsa-miR-451a,MMP2
hsa-miR-335-5p,MMP2
hsa-miR-338-3p,MMP2
hsa-miR-21-5p,MMP2
hsa-miR-17-5p,MMP2
hsa-miR-29c-3p,MMP2
hsa-miR-491-5p,MMP2
hsa-miR-9-5p,MMP2
hsa-miR-29a-3p,MMP2
hsa-miR-452-5p,MMP2
hsa-miR-708-5p,MMP2
hsa-miR-767-5p,MMP2
hsa-miR-106b-5p,MMP2
hsa-miR-221-3p,MMP2
hsa-miR-544a,MMP2
hsa-miR-1238-3p,MMP2
hsa-miR-670-3p,MMP2
hsa-miR-29b-2-5p,MMP2
hsa-miR-6749-3p,MMP2
hsa-miR-6792-3p,MMP2
hsa-miR-4691-5p,MMP2
hsa-miR-130b-3p,MMP2
hsa-miR-125b-5p,MMP2
hsa-miR-520g-3p,MMP2
hsa-miR-524-5p,MMP2
hsa-miR-302a-5p,MMP2
hsa-miR-218-5p,MMP2
hsa-miR-203a-5p,MMP2
hsa-miR-143-3p,MMP2
hsa-miR-519d-3p,MMP2
hsa-miR-20a-3p,MMP2
hsa-miR-34a-5p,MMP2
hsa-miR-1237-3p,MMP2
hsa-miR-200a-3p,MMP2
hsa-miR-124-3p,SLC26A4
hsa-miR-26b-5p,SLC26A4
hsa-miR-122-5p,PFKFB2
hsa-miR-21-5p,PFKFB2
hsa-miR-181a-5p,PFKFB2
hsa-miR-377-3p,PFKFB2
hsa-miR-1185-1-3p,PFKFB2
hsa-miR-1185-2-3p,PFKFB2
hsa-miR-382-5p,PFKFB2
hsa-miR-376a-3p,PFKFB2
hsa-miR-93-5p,PFKFB2
hsa-miR-526b-3p,PFKFB2
hsa-miR-519d-3p,PFKFB2
hsa-miR-20b-5p,PFKFB2
hsa-miR-20a-5p,PFKFB2
hsa-miR-17-5p,PFKFB2
hsa-miR-106b-5p,PFKFB2
hsa-miR-106a-5p,PFKFB2
hsa-miR-548t-5p,PFKFB2
hsa-miR-548az-5p,PFKFB2
hsa-miR-548n,PFKFB2
hsa-miR-2110,PFKFB2
hsa-miR-585-5p,PFKFB2
hsa-miR-491-5p,PFKFB2
hsa-miR-6780b-5p,PFKFB2
hsa-miR-4725-3p,PFKFB2
hsa-miR-4271,PFKFB2
hsa-miR-4745-5p,PFKFB2
hsa-miR-4481,PFKFB2
hsa-miR-4693-3p,PFKFB2
hsa-miR-125a-3p,PFKFB2
hsa-miR-1296-3p,PFKFB2
hsa-miR-552-3p,PFKFB2
hsa-miR-26b-5p,PIGA
hsa-miR-326,PIGA
hsa-miR-144-5p,PIGA
hsa-miR-4696,PIGA
hsa-miR-6845-3p,PIGA
hsa-miR-5009-3p,PIGA
hsa-miR-590-3p,PIGA
hsa-miR-519c-3p,PIGA
hsa-miR-519b-3p,PIGA
hsa-miR-519a-3p,PIGA
hsa-miR-513c-3p,PIGA
hsa-miR-513a-3p,PIGA
hsa-miR-3606-3p,PIGA
hsa-miR-5692a,PIGA
hsa-miR-520b,PIGA
hsa-miR-520c-3p,PIGA
hsa-miR-520d-3p,PIGA
hsa-miR-302a-3p,PIGA
hsa-miR-520e,PIGA
hsa-miR-520a-3p,PIGA
hsa-miR-373-3p,PIGA
hsa-miR-372-3p,PIGA
hsa-miR-302b-3p,PIGA
hsa-miR-302c-3p,PIGA
hsa-miR-302d-3p,PIGA
hsa-miR-302e,PIGA
hsa-miR-454-3p,PIGA
hsa-miR-130a-3p,PIGA
hsa-miR-301b-3p,PIGA
hsa-miR-3666,PIGA
hsa-miR-4295,PIGA
hsa-miR-130b-3p,PIGA
hsa-miR-301a-3p,PIGA
hsa-miR-2355-5p,PIGA
hsa-miR-3689f,PIGA
hsa-miR-3689e,PIGA
hsa-miR-3689b-5p,PIGA
hsa-miR-3689a-5p,PIGA
hsa-miR-4746-5p,PIGA
hsa-miR-16-1-3p,PIGA
hsa-miR-548p,PIGA
hsa-miR-548e-5p,PIGA
hsa-miR-186-5p,RNF6
hsa-miR-215-5p,RNF6
hsa-miR-192-5p,RNF6
hsa-miR-26b-5p,RNF6
hsa-miR-296-3p,RNF6
hsa-miR-190a-3p,RNF6
hsa-miR-5011-5p,RNF6
hsa-miR-448,RNF6
hsa-miR-136-5p,RNF6
hsa-miR-498,RNF6
hsa-miR-302c-5p,RNF6
hsa-miR-4465,RNF6
hsa-miR-26a-5p,RNF6
hsa-miR-1297,RNF6
hsa-miR-3143,RNF6
hsa-miR-5697,RNF6
hsa-miR-802,RNF6
hsa-miR-548p,RNF6
hsa-miR-543,RNF6
hsa-miR-4803,RNF6
hsa-miR-5590-5p,RNF6
hsa-miR-550b-2-5p,RNF6
hsa-miR-1227-3p,RNF6
hsa-miR-16-1-3p,RNF6
hsa-miR-569,RNF6
hsa-miR-590-5p,RNF6
hsa-miR-21-5p,RNF6
hsa-miR-548at-5p,RNF6
hsa-miR-3157-5p,RNF6
hsa-miR-4691-3p,RNF6
hsa-miR-5579-5p,RNF6
hsa-miR-4728-3p,RNF6
hsa-miR-4262,RNF6
hsa-miR-181d-5p,RNF6
hsa-miR-181c-5p,RNF6
hsa-miR-181b-5p,RNF6
hsa-miR-181a-5p,RNF6
hsa-miR-513c-3p,RNF6
